pb_id,source_id,product_desc,pf_id,paralog_count,ortholog_count,gene_name,ortho_group
PBANKA_0100800,PBANKA_0100800.1,"zinc finger protein, putative",PF3D7_0602000,0,47,null,OG5_143213
PBANKA_0100900,PBANKA_0100900.1,"ATP-dependent RNA helicase, putative",PF3D7_0602100,0,44,null,OG5_127259
PBANKA_0101000,PBANKA_0101000.1,"MYND-type zinc finger protein, putative",PF3D7_0602200,0,43,null,OG5_134284
PBANKA_0101100,PBANKA_0101100.1,liver merozoite formation protein,PF3D7_0602300,0,44,PALM,OG5_166969
PBANKA_0101200,PBANKA_0101200.1,"elongation factor G, putative","PF3D7_0602400,PF3D7_1233000",1,88,EF-G,OG5_126692
PBANKA_0101300,PBANKA_0101300.1,"geranylgeranyl transferase type-2 subunit beta, putative",PF3D7_0602500,0,44,null,OG5_127744
PBANKA_0101400,PBANKA_0101400.1,"SAC3 domain-containing protein, putative",PF3D7_0602600,0,44,null,OG5_152790
PBANKA_0101500,PBANKA_0101500.1,"conserved Plasmodium protein, unknown function",PF3D7_0602700,0,44,null,OG5_166869
PBANKA_0101600,PBANKA_0101600.1,"JmjC domain-containing protein, putative",PF3D7_0602800,0,44,JmjC2,OG5_165683
PBANKA_0101700,PBANKA_0101700.1,"conserved Plasmodium protein, unknown function",PF3D7_0602900,0,44,null,OG5_161479
PBANKA_0101800,PBANKA_0101800.1,"conserved Plasmodium protein, unknown function",PF3D7_0603000,0,45,null,OG5_166970
PBANKA_0101900,PBANKA_0101900.1,"RNA-binding protein, putative",PF3D7_0603100,0,44,null,OG5_166971
PBANKA_0102000,PBANKA_0102000.1,"mitochondrial chaperone BCS1, putative",PF3D7_0603200,0,44,BCS1,OG5_128574
PBANKA_0102100,PBANKA_0102100.1,"dihydroorotate dehydrogenase, putative",PF3D7_0603300,0,44,DHODH,OG5_127289
PBANKA_0102200,PBANKA_0102200.1,"trophozoite exported protein 1, putative",PF3D7_0603400,0,44,TEX1,OG5_128069
PBANKA_0102300,PBANKA_0102300.1,cation/H+ antiporter,PF3D7_0603500,0,44,CAX,OG5_128780
PBANKA_0102400,PBANKA_0102400.1,"conserved Plasmodium protein, unknown function",PF3D7_0603600,0,46,null,OG5_162064
PBANKA_0102500,PBANKA_0102500.1,"phenylalanine--tRNA ligase, putative",PF3D7_0603700,0,44,null,OG5_128825
PBANKA_0102600,PBANKA_0102600.1,"centrosomal protein CEP76, putative",PF3D7_0603800,0,45,CEP76,OG5_140540
PBANKA_0102700,PBANKA_0102700.1,"conserved Plasmodium protein, unknown function",PF3D7_0603900,0,44,null,OG5_166879
PBANKA_0102800,PBANKA_0102800.1,"conserved Plasmodium protein, unknown function",PF3D7_0604000,0,45,null,OG5_165453
PBANKA_0102900,PBANKA_0102900.1,"AP2 domain transcription factor, putative",PF3D7_0604100,0,41,SIP2,OG5_150514
PBANKA_0103000,PBANKA_0103000.1,"mitochondrial ribosomal protein L41, putative",PF3D7_0604200,0,43,null,OG5_143072
PBANKA_0103100,PBANKA_0103100.1,"conserved Plasmodium protein, unknown function",PF3D7_0604300,0,44,null,OG5_166408
PBANKA_0103200,PBANKA_0103200.1,"conserved protein, unknown function",PF3D7_0604400,0,44,null,OG5_166881
PBANKA_0103300,PBANKA_0103300.1,"conserved Plasmodium protein, unknown function",PF3D7_0604500,0,34,null,OG5_165471
PBANKA_0103400,PBANKA_0103400.1,"glyoxalase I-like protein GILP, putative",PF3D7_0604700,0,44,GILP,OG5_166095
PBANKA_0103500,PBANKA_0103500.1,"RAP protein, putative",PF3D7_0604800,0,44,null,OG5_160717
PBANKA_0103700,PBANKA_0103700.1,"conserved Plasmodium protein, unknown function",PF3D7_0604900,0,42,null,OG5_166972
PBANKA_0103800,PBANKA_0103800.1,"50S ribosomal protein L24, putative","PF3D7_0605000,PF3D7_1223900",1,91,null,OG5_127372
PBANKA_0103900,PBANKA_0103900.1,"RNA-binding protein, putative",PF3D7_0605100,0,44,null,OG5_155454
PBANKA_0104000,PBANKA_0104000.1,"conserved protein, unknown function",PF3D7_0605200,0,43,null,OG5_150557
PBANKA_0104100,PBANKA_0104100.1,"serine/threonine protein kinase, putative",PF3D7_0605300,0,44,ARK1,OG5_142552
PBANKA_0104200,PBANKA_0104200.1,"calcium-binding protein, putative",PF3D7_0605400,0,43,null,OG5_159779
PBANKA_0104300,PBANKA_0104300.1,"cyclin dependent kinase binding protein, putative",PF3D7_0605500,0,44,null,OG5_144186
PBANKA_0104400,PBANKA_0104400.1,"nucleoside diphosphate kinase, putative",PF3D7_0605600,0,46,null,OG5_133897
